Natural Language Command,Main Command,Argument
i need you to execute discord,open application,discord
i need you to execute spotify,open application,spotify
restart photoshop for me,restart application,photoshop
open discord,open application,discord
please reboot matlab,restart application,matlab
i need you to reboot slack,restart application,slack
i need you to relaunch notepad,restart application,notepad
execute outlook,open application,outlook
can you exit photoshop,close application,photoshop
reboot chrome for me,restart application,chrome
i need you to restart discord,restart application,discord
please reboot slack,restart application,slack
restart excel for me,restart application,excel
please shut down firefox,close application,firefox
relaunch chrome,restart application,chrome
please boot up firefox,open application,firefox
please relaunch photoshop,restart application,photoshop
execute slack,open application,slack
open word,open application,word
end chrome for me,close application,chrome
can you relaunch word,restart application,word
restart discord for me,restart application,discord
can you reload photoshop,restart application,photoshop
terminate powerpoint for me,close application,powerpoint
i need you to restart outlook,restart application,outlook
execute photoshop,open application,photoshop
can you start spotify,open application,spotify
quit matlab,close application,matlab
restart notepad,restart application,notepad
please start excel,open application,excel
can you launch notepad,open application,notepad
i need you to reload powerpoint,restart application,powerpoint
can you quit excel,close application,excel
launch excel,open application,excel
restart excel,restart application,excel
can you start zoom,open application,zoom
can you exit zoom,close application,zoom
can you quit skype,close application,skype
launch outlook,open application,outlook
can you run zoom,open application,zoom
i need you to terminate chrome,close application,chrome
please end outlook,close application,outlook
i need you to boot up outlook,open application,outlook
execute discord,open application,discord
please relaunch outlook,restart application,outlook
please reboot firefox,restart application,firefox
i need you to open word,open application,word
run spotify,open application,spotify
can you launch skype,open application,skype
i need you to terminate firefox,close application,firefox
restart excel,restart application,excel
boot up firefox for me,open application,firefox
start outlook,open application,outlook
execute firefox for me,open application,firefox
relaunch chrome for me,restart application,chrome
can you start word,open application,word
restart photoshop for me,restart application,photoshop
can you execute notepad,open application,notepad
please execute slack,open application,slack
i need you to execute vscode,open application,vscode
can you reboot photoshop,restart application,photoshop
i need you to run powerpoint,open application,powerpoint
boot up word,open application,word
quit photoshop,close application,photoshop
please boot up powerpoint,open application,powerpoint
can you reboot slack,restart application,slack
i need you to open spotify,open application,spotify
shut down matlab,close application,matlab
terminate firefox for me,close application,firefox
reboot photoshop for me,restart application,photoshop
boot up powerpoint for me,open application,powerpoint
boot up slack,open application,slack
please restart spotify,restart application,spotify
i need you to restart matlab,restart application,matlab
end photoshop,close application,photoshop
please reboot zoom,restart application,zoom
please exit slack,close application,slack
i need you to execute discord,open application,discord
can you shut down outlook,close application,outlook
start matlab for me,open application,matlab
please reload firefox,restart application,firefox
reboot word,restart application,word
i need you to exit zoom,close application,zoom
reboot matlab for me,restart application,matlab
restart zoom,restart application,zoom
please open firefox,open application,firefox
please reboot word,restart application,word
i need you to execute firefox,open application,firefox
please end firefox,close application,firefox
reboot zoom,restart application,zoom
i need you to quit word,close application,word
i need you to run powerpoint,open application,powerpoint
can you reboot firefox,restart application,firefox
quit powerpoint,close application,powerpoint
open excel,open application,excel
can you close powerpoint,close application,powerpoint
i need you to run photoshop,open application,photoshop
reload photoshop for me,restart application,photoshop
i need you to exit word,close application,word
start discord,open application,discord
terminate discord,close application,discord
i need you to reboot vscode,restart application,vscode
i need you to launch spotify,open application,spotify
can you close slack,close application,slack
open spotify for me,open application,spotify
please launch excel,open application,excel
start photoshop,open application,photoshop
please reboot powerpoint,restart application,powerpoint
restart skype for me,restart application,skype
