natural_language_command,main_command,argument
shut down chrome,close_application,chrome
open the unknown_app app,open_application,unknown_app
set volume up now,media_control,volume down
set volume down now,media_control,volume down
close notepad,close_application,notepad
open the photoshop app,open_application,photoshop
find tutorials,web_search,tutorials
display disk space,system_status,disk space
open the vscode app,open_application,vscode
show memory usage,system_status,memory usage
get network status,system_status,network status
start the vscode app,open_application,vscode
display cpu usage,system_status,cpu usage
display disk space,system_status,disk space
close vscode,close_application,vscode
adjust volume now,media_control,volume up
look up recipes,web_search,recipes
close vscode,close_application,vscode
exit chrome,close_application,chrome
google movies,web_search,movies
start the photoshop app,open_application,photoshop
run the unknown_app app,open_application,unknown_app
launch the vscode app,open_application,vscode
open the firefox app,open_application,firefox
start the notepad app,open_application,notepad
close photoshop,close_application,photoshop
start the vscode app,open_application,vscode
exit notepad,close_application,notepad
check cpu usage,system_status,cpu usage
google tutorials,web_search,tutorials
check disk space,system_status,disk space
run the chrome app,open_application,chrome
look up recipes,web_search,recipes
launch the photoshop app,open_application,photoshop
start the photoshop app,open_application,photoshop
close unknown_app,close_application,unknown_app
google restaurants,web_search,restaurants
find jobs,web_search,jobs
close unknown_app,close_application,unknown_app
set volume down now,media_control,volume up
search for restaurants,web_search,restaurants
set volume up now,media_control,mute
run the unknown_app app,open_application,unknown_app
run the unknown_app app,open_application,unknown_app
show battery,system_status,battery
look up hotels,web_search,hotels
set volume down now,media_control,mute
look up movies,web_search,movies
look up recipes,web_search,recipes
open the photoshop app,open_application,photoshop
search for hotels,web_search,hotels
google recipes,web_search,recipes
exit chrome,close_application,chrome
find restaurants,web_search,restaurants
exit chrome,close_application,chrome
terminate unknown_app,close_application,unknown_app
set volume down now,media_control,volume down
close vscode,close_application,vscode
mute now,media_control,volume up
look up recipes,web_search,recipes
close notepad,close_application,notepad
shut down notepad,close_application,notepad
start the notepad app,open_application,notepad
find movies,web_search,movies
start the unknown_app app,open_application,unknown_app
set volume down now,media_control,mute
set volume up now,media_control,volume down
shut down photoshop,close_application,photoshop
google tutorials,web_search,tutorials
check network status,system_status,network status
close unknown_app,close_application,unknown_app
find tutorials,web_search,tutorials
mute now,media_control,volume up
launch the unknown_app app,open_application,unknown_app
run the firefox app,open_application,firefox
terminate photoshop,close_application,photoshop
open the photoshop app,open_application,photoshop
start the chrome app,open_application,chrome
shut down unknown_app,close_application,unknown_app
start the chrome app,open_application,chrome
shut down photoshop,close_application,photoshop
close notepad,close_application,notepad
exit notepad,close_application,notepad
launch the photoshop app,open_application,photoshop
search for recipes,web_search,recipes
exit chrome,close_application,chrome
open the vscode app,open_application,vscode
find movies,web_search,movies
exit firefox,close_application,firefox
launch the notepad app,open_application,notepad
terminate notepad,close_application,notepad
set volume up now,media_control,mute
set volume up now,media_control,mute
start the notepad app,open_application,notepad
run the chrome app,open_application,chrome
set volume up now,media_control,volume up
close chrome,close_application,chrome
display disk space,system_status,disk space
display network status,system_status,network status
close firefox,close_application,firefox
exit chrome,close_application,chrome
run the firefox app,open_application,firefox
exit photoshop,close_application,photoshop
open the photoshop app,open_application,photoshop
shut down unknown_app,close_application,unknown_app
close vscode,close_application,vscode
launch the notepad app,open_application,notepad
google jobs,web_search,jobs
set volume up now,media_control,volume up
google hotels,web_search,hotels
search for tutorials,web_search,tutorials
set volume down now,media_control,volume up
terminate chrome,close_application,chrome
run the notepad app,open_application,notepad
run the chrome app,open_application,chrome
mute now,media_control,mute
set volume down now,media_control,volume down
terminate firefox,close_application,firefox
close unknown_app,close_application,unknown_app
start the vscode app,open_application,vscode
adjust volume now,media_control,volume up
exit photoshop,close_application,photoshop
start the unknown_app app,open_application,unknown_app
set volume up now,media_control,mute
shut down vscode,close_application,vscode
get network status,system_status,network status
find recipes,web_search,recipes
look up hotels,web_search,hotels
close unknown_app,close_application,unknown_app
shut down notepad,close_application,notepad
look up restaurants,web_search,restaurants
set volume up now,media_control,volume up
find hotels,web_search,hotels
open the chrome app,open_application,chrome
look up tutorials,web_search,tutorials
mute now,media_control,mute
get battery,system_status,battery
search for tutorials,web_search,tutorials
google hotels,web_search,hotels
run the firefox app,open_application,firefox
close notepad,close_application,notepad
display disk space,system_status,disk space
google movies,web_search,movies
show memory usage,system_status,memory usage
search for hotels,web_search,hotels
close notepad,close_application,notepad
close vscode,close_application,vscode
find hotels,web_search,hotels
run the firefox app,open_application,firefox
check cpu usage,system_status,cpu usage
display battery,system_status,battery
launch the chrome app,open_application,chrome
shut down chrome,close_application,chrome
google hotels,web_search,hotels
shut down notepad,close_application,notepad
close unknown_app,close_application,unknown_app
run the notepad app,open_application,notepad
check disk space,system_status,disk space
mute now,media_control,volume down
close firefox,close_application,firefox
search for movies,web_search,movies
run the photoshop app,open_application,photoshop
show battery,system_status,battery
exit vscode,close_application,vscode
search for recipes,web_search,recipes
run the firefox app,open_application,firefox
set volume down now,media_control,mute
run the notepad app,open_application,notepad
show memory usage,system_status,memory usage
get disk space,system_status,disk space
check memory usage,system_status,memory usage
find recipes,web_search,recipes
look up hotels,web_search,hotels
display network status,system_status,network status
open the notepad app,open_application,notepad
run the notepad app,open_application,notepad
start the firefox app,open_application,firefox
check disk space,system_status,disk space
mute now,media_control,volume up
adjust volume now,media_control,volume down
exit vscode,close_application,vscode
find hotels,web_search,hotels
google recipes,web_search,recipes
terminate firefox,close_application,firefox
google recipes,web_search,recipes
set volume up now,media_control,mute
terminate notepad,close_application,notepad
look up recipes,web_search,recipes
shut down notepad,close_application,notepad
shut down vscode,close_application,vscode
