keyword,command

# UI Interaction
click,click on
select,click on
tap on,click on
press,click on
choose,click on
touch,click on
interact with,click on
activate,click on
engage,click on
hit,click on

# Application Control
open,open application
start,open application
launch,open application
run application,open application
access app,open application
initiate,open application
begin,open application
load,open application
execute,open application
boot,open application

close,close application
exit,close application
shut down app,close application
terminate,close application
stop app,close application
quit,close application
end,close application
kill,close application
dismiss,close application
shut off,close application

# File and Folder Management
make folder,create folder
create directory,create folder
new folder,create folder
add folder,create folder
build folder,create folder
generate folder,create folder
establish folder,create folder
set up folder,create folder
initialize folder,create folder
construct folder,create folder

remove file,delete file
delete file,delete file
erase file,delete file
discard file,delete file
get rid of file,delete file
trash file,delete file
destroy file,delete file
eliminate file,delete file
wipe file,delete file
purge file,delete file

move this,move file
transfer file,move file
relocate file,move file
shift file,move file
place file,move file
send file,move file
transport file,move file
migrate file,move file
reposition file,move file
change location,move file

rename this,rename file
change file name,rename file
edit file name,rename file
update file name,rename file
modify file name,rename file
alter name,rename file
adjust name,rename file
revise name,rename file
switch name,rename file
change title,rename file

# System Information
battery,battery status
check battery,battery status
battery status,battery status
power level,battery status
battery health,battery status
energy level,battery status
power status,battery status
charge level,battery status
battery life,battery status
power remaining,battery status

cpu,cpu usage
processor,cpu usage
system load,cpu usage
check cpu,cpu usage
cpu status,cpu usage
processing power,cpu usage
cpu load,cpu usage
processor health,cpu usage
system resources,cpu usage
cpu performance,cpu usage

internet,internet status
check internet,internet status
online status,internet status
is internet working,internet status
network status,internet status
connection status,internet status
wifi status,internet status
web connection,internet status
internet health,internet status
connectivity check,internet status

time,current time
current time,current time
what time is it,current time
tell me the time,current time
time now,current time
clock,current time
present time,current time
exact time,current time
local time,current time
time check,current time

# Web and Browser Commands
search,web search
find online,web search
google,web search
search the web,web search
look up,web search
browse for,web search
search internet,web search
query web,web search
find information,web search
research online,web search

youtube,youtube search
search youtube,youtube search
find on youtube,youtube search
play on youtube,youtube search
youtube search,youtube search
watch video,youtube search
find video,youtube search
video search,youtube search
browse youtube,youtube search
stream video,youtube search

email,check email
check mail,check email
read mail,check email
email inbox,check email
open email,check email
show emails,check email
view messages,check email
mail status,check email
inbox check,check email
electronic mail,check email

weather,get weather
what's the weather,get weather
forecast,get weather
current weather,get weather
weather update,get weather
temperature,get weather
weather info,get weather
climate check,get weather
weather report,get weather
weather conditions,get weather

website,open website
visit site,open website
go to website,open website
browse site,open website
open url,open website
load page,open website
access site,open website
navigate to site,open website
show website,open website
display page,open website

# System Control
volume up,increase volume
raise volume,increase volume
turn up volume,increase volume
increase sound,increase volume
boost volume,increase volume
amplify sound,increase volume
louder,increase volume
maximize volume,increase volume
increase audio,increase volume
heighten volume,increase volume

volume down,decrease volume
lower volume,decrease volume
reduce volume,decrease volume
decrease sound,decrease volume
turn down volume,decrease volume
softer,decrease volume
