natural_language_command,main_command,argument
find movies,web_search,movies
please terminate firefox,close_application,firefox
can you show memory usage please,system_status,memory usage
I want you to exit powerpoint please,close_application,powerpoint
please display battery please,system_status,battery
can you adjust volume down now,media_control,volume down
close word please,close_application,word
can you start terminal for me,open_application,terminal
find hotels,web_search,hotels
I want you to close calculator please,close_application,calculator
help me launch chrome now,open_application,chrome
please adjust volume up please,media_control,volume up
run calculator,open_application,calculator
please open terminal please,open_application,terminal
look up reviews,web_search,reviews
I need you to show disk space,system_status,disk space
help me google movies,web_search,movies
search for courses,web_search,courses
I want you to google reviews,web_search,reviews
I want you to terminate chrome now,close_application,chrome
help me start firefox for me,open_application,firefox
can you open vscode now,open_application,vscode
please set mute please,media_control,mute
please run matlab for me,open_application,matlab
please display battery,system_status,battery
could you display battery,system_status,battery
run matlab for me,open_application,matlab
could you find jobs now,web_search,jobs
would you mind exit vscode please,close_application,vscode
can you display system status for me,system_status,system status
please terminate matlab please,close_application,matlab
help me exit notepad please,close_application,notepad
I need you to google restaurants please,web_search,restaurants
please run word now,open_application,word
would you mind run vscode,open_application,vscode
can you get system status for me,system_status,system status
I need you to open powerpoint for me,open_application,powerpoint
would you mind look up recipes,web_search,recipes
I want you to check network status please,system_status,network status
I want you to check battery,system_status,battery
please open firefox now,open_application,firefox
please start notepad please,open_application,notepad
help me terminate powerpoint for me,close_application,powerpoint
can you change mute now,media_control,mute
help me launch terminal now,open_application,terminal
can you look up tutorials,web_search,tutorials
please get cpu usage,system_status,cpu usage
could you start powerpoint,open_application,powerpoint
would you mind google hotels for me,web_search,hotels
please exit vscode,close_application,vscode
can you terminate excel for me,close_application,excel
I want you to check network status for me,system_status,network status
I need you to look up reviews,web_search,reviews
help me quit powerpoint,close_application,powerpoint
would you mind look up news please,web_search,news
would you mind change volume down please,media_control,volume down
please find courses,web_search,courses
please start calculator for me,open_application,calculator
would you mind open photoshop,open_application,photoshop
please close word please,close_application,word
can you look up flights now,web_search,flights
I need you to check memory usage please,system_status,memory usage
I want you to terminate excel please,close_application,excel
