Input,Output
Please open taskbar settings.,open taskbar settings
Please sleep mode.,sleep mode
Can you snap window right?,snap window right
restore window,restore window
Please web search Python tutorials.,web search Python tutorials
I want to close window.,close window
snap window right,snap window right
web search AI advancements,web search AI advancements
Can you take screenshot?,take screenshot
Can you unmute sound?,unmute sound
Please open application Paint.,open application Paint
Please open system properties.,open system properties
I want to web search latest news.,web search latest news
I want to check email.,check email
I want to minimize all windows.,minimize all windows
Can you click on Download link?,click on Download link
Can you open website google.com?,open website google.com
Can you open apps settings?,open apps settings
Please open application Notepad.,open application Notepad
Please youtube search music videos.,youtube search music videos
Can you open paint?,open paint
Can you switch window?,switch window
I want to open task manager.,open task manager
click on the OK button.,click on OK button
close application Calculator,close application Calculator
Can you youtube search movie trailers?,youtube search movie trailers
restart,restart
I want to open power and sleep settings.,open power and sleep settings
open application the Paint.,open application Paint
Please web search weather forecast.,web search weather forecast
I want to lock computer.,lock computer
Can you close application Calculator?,close application Calculator
I want to open application Notepad.,open application Notepad
I want to decrease volume.,decrease volume
close application the Paint.,close application Paint
open application the Calculator.,open application Calculator
Can you open action center?,open action center
Please open language settings.,open language settings
Please click on Download link.,click on Download link
I want to close application Notepad.,close application Notepad
Can you open task manager?,open task manager
Can you open website youtube.com?,open website youtube.com
decrease volume,decrease volume
youtube search the tech reviews.,youtube search tech reviews
open snipping tool,open snipping tool
increase volume,increase volume
I want to restore window.,restore window
I want to close application Browser.,close application Browser
create virtual desktop,create virtual desktop
I want to check internet.,check internet
Please open security and maintenance.,open security and maintenance
Can you youtube search music videos?,youtube search music videos
close application Browser,close application Browser
Can you click on Cancel button?,click on Cancel button
Please click on Cancel button.,click on Cancel button
I want to get weather.,get weather
Can you open application Notepad?,open application Notepad
Please snap window left.,snap window left
open taskbar settings now.,open taskbar settings
I want to youtube search music videos.,youtube search music videos
open network connections now.,open network connections
open system properties now.,open system properties
Can you current date?,current date
Can you toggle full screen?,toggle full screen
Can you open display settings?,open display settings
open application Paint,open application Paint
decrease volume now.,decrease volume
Please close application Paint.,close application Paint
web search Python tutorials,web search Python tutorials
open new window,open new window
open website the youtube.com.,open website youtube.com
