User Command,Exact Command,Argument,Natural Language Command,Main Command
open Chrome,open application Chrome,none,,
,,discord,i need you to execute discord,open application
,,spotify,i need you to execute spotify,open application
,,photoshop,restart photoshop for me,restart application
,,discord,open discord,open application
,,matlab,please reboot matlab,restart application
,,slack,i need you to reboot slack,restart application
,,notepad,i need you to relaunch notepad,restart application
,,outlook,execute outlook,open application
,,photoshop,can you exit photoshop,close application
,,chrome,reboot chrome for me,restart application
,,discord,i need you to restart discord,restart application
,,slack,please reboot slack,restart application
,,excel,restart excel for me,restart application
,,firefox,please shut down firefox,close application
,,chrome,relaunch chrome,restart application
,,firefox,please boot up firefox,open application
,,photoshop,please relaunch photoshop,restart application
,,slack,execute slack,open application
,,word,open word,open application
,,chrome,end chrome for me,close application
,,word,can you relaunch word,restart application
,,discord,restart discord for me,restart application
,,photoshop,can you reload photoshop,restart application
,,powerpoint,terminate powerpoint for me,close application
,,outlook,i need you to restart outlook,restart application
,,photoshop,execute photoshop,open application
,,spotify,can you start spotify,open application
,,matlab,quit matlab,close application
,,notepad,restart notepad,restart application
,,excel,please start excel,open application
,,notepad,can you launch notepad,open application
,,powerpoint,i need you to reload powerpoint,restart application
,,excel,can you quit excel,close application
,,excel,launch excel,open application
,,excel,restart excel,restart application
,,zoom,can you start zoom,open application
,,zoom,can you exit zoom,close application
,,skype,can you quit skype,close application
,,outlook,launch outlook,open application
,,zoom,can you run zoom,open application
,,chrome,i need you to terminate chrome,close application
,,outlook,please end outlook,close application
,,outlook,i need you to boot up outlook,open application
,,discord,execute discord,open application
,,outlook,please relaunch outlook,restart application
,,firefox,please reboot firefox,restart application
,,word,i need you to open word,open application
,,spotify,run spotify,open application
,,skype,can you launch skype,open application
,,firefox,i need you to terminate firefox,close application
,,firefox,boot up firefox for me,open application
,,outlook,start outlook,open application
,,firefox,execute firefox for me,open application
,,chrome,relaunch chrome for me,restart application
,,word,can you start word,open application
,,notepad,can you execute notepad,open application
,,slack,please execute slack,open application
,,vscode,i need you to execute vscode,open application
,,photoshop,can you reboot photoshop,restart application
,,powerpoint,i need you to run powerpoint,open application
,,word,boot up word,open application
,,photoshop,quit photoshop,close application
,,powerpoint,please boot up powerpoint,open application
,,slack,can you reboot slack,restart application
,,spotify,i need you to open spotify,open application
,,matlab,shut down matlab,close application
,,firefox,terminate firefox for me,close application
,,photoshop,reboot photoshop for me,restart application
,,powerpoint,boot up powerpoint for me,open application
,,slack,boot up slack,open application
,,spotify,please restart spotify,restart application
,,matlab,i need you to restart matlab,restart application
,,photoshop,end photoshop,close application
,,zoom,please reboot zoom,restart application
,,slack,please exit slack,close application
,,outlook,can you shut down outlook,close application
,,matlab,start matlab for me,open application
,,firefox,please reload firefox,restart application
,,word,reboot word,restart application
,,zoom,i need you to exit zoom,close application
